timestamp;buyer;seller;symbol;currency;price;quantity
100;;;KELP;SEASHELLS;2034.0;1
100;;;RAINFOREST_RESIN;SEASHELLS;10002.0;1
200;;;JAMS;SEASHELLS;6542.0;11
200;;;JAMS;SEASHELLS;6543.0;9
200;;;KELP;SEASHELLS;2035.0;1
200;;;RAINFOREST_RESIN;SEASHELLS;10004.0;1
200;;;SQUID_INK;SEASHELLS;1835.0;1
300;;;KELP;SEASHELLS;2034.0;1
300;;;SQUID_INK;SEASHELLS;1836.0;1
500;;;KELP;SEASHELLS;2034.0;1
500;;;SQUID_INK;SEASHELLS;1836.0;1
600;;;KELP;SEASHELLS;2033.0;5
600;;;SQUID_INK;SEASHELLS;1834.0;5
700;;;JAMS;SEASHELLS;6542.0;6
700;;;KELP;SEASHELLS;2032.0;1
700;;;SQUID_INK;SEASHELLS;1834.0;1
800;;;KELP;SEASHELLS;2032.0;1
800;;;RAINFOREST_RESIN;SEASHELLS;9996.0;1
800;;;SQUID_INK;SEASHELLS;1836.0;1
900;;;KELP;SEASHELLS;2035.0;15
1000;;;CROISSANTS;SEASHELLS;4275.0;7
1000;;;DJEMBES;SEASHELLS;13413.0;4
1100;;;DJEMBES;SEASHELLS;13414.0;5
1200;;;KELP;SEASHELLS;2032.0;1
1200;;;SQUID_INK;SEASHELLS;1839.0;1
1300;;;RAINFOREST_RESIN;SEASHELLS;10002.0;1
1400;;;CROISSANTS;SEASHELLS;4273.0;6
1400;;;SQUID_INK;SEASHELLS;1842.0;6
1500;;;DJEMBES;SEASHELLS;13412.0;7
1500;;;JAMS;SEASHELLS;6542.0;10
1500;;;JAMS;SEASHELLS;6542.0;8
1500;;;KELP;SEASHELLS;2034.0;1
1500;;;RAINFOREST_RESIN;SEASHELLS;9998.0;4
1500;;;SQUID_INK;SEASHELLS;1844.0;1
1600;;;JAMS;SEASHELLS;6542.0;4
1700;;;JAMS;SEASHELLS;6542.0;8
1900;;;DJEMBES;SEASHELLS;13414.0;2
1900;;;KELP;SEASHELLS;2032.0;1
2100;;;DJEMBES;SEASHELLS;13414.0;8
2200;;;DJEMBES;SEASHELLS;13415.0;3
2300;;;PICNIC_BASKET1;SEASHELLS;58678.0;2
2300;;;PICNIC_BASKET1;SEASHELLS;58678.0;1
2300;;;PICNIC_BASKET2;SEASHELLS;30238.0;2
2300;;;PICNIC_BASKET2;SEASHELLS;30237.0;1
2400;;;CROISSANTS;SEASHELLS;4273.0;7
2600;;;RAINFOREST_RESIN;SEASHELLS;10002.0;4
2600;;;RAINFOREST_RESIN;SEASHELLS;10002.0;1
2700;;;DJEMBES;SEASHELLS;13416.0;5
3000;;;KELP;SEASHELLS;2034.0;1
3000;;;SQUID_INK;SEASHELLS;1850.0;1
3100;;;RAINFOREST_RESIN;SEASHELLS;9998.0;1
3200;;;RAINFOREST_RESIN;SEASHELLS;10002.0;5
3300;;;CROISSANTS;SEASHELLS;4274.0;7
3300;;;RAINFOREST_RESIN;SEASHELLS;10002.0;1
3500;;;DJEMBES;SEASHELLS;13415.0;2
3600;;;CROISSANTS;SEASHELLS;4275.0;5
3700;;;RAINFOREST_RESIN;SEASHELLS;9998.0;1
4000;;;KELP;SEASHELLS;2032.0;1
4000;;;SQUID_INK;SEASHELLS;1854.0;1
4200;;;RAINFOREST_RESIN;SEASHELLS;10002.0;5
4300;;;KELP;SEASHELLS;2032.0;2
4300;;;SQUID_INK;SEASHELLS;1854.0;2
4600;;;JAMS;SEASHELLS;6542.0;9
4600;;;JAMS;SEASHELLS;6544.0;5
4900;;;CROISSANTS;SEASHELLS;4271.0;4
5200;;;KELP;SEASHELLS;2033.0;5
5200;;;KELP;SEASHELLS;2033.0;4
5200;;;SQUID_INK;SEASHELLS;1859.0;5
5200;;;SQUID_INK;SEASHELLS;1859.0;4
5400;;;KELP;SEASHELLS;2035.0;1
5400;;;RAINFOREST_RESIN;SEASHELLS;10005.0;1
5400;;;SQUID_INK;SEASHELLS;1860.0;1
5500;;;JAMS;SEASHELLS;6540.0;9
5500;;;KELP;SEASHELLS;2032.0;8
5500;;;RAINFOREST_RESIN;SEASHELLS;10004.0;1
5600;;;PICNIC_BASKET1;SEASHELLS;58649.0;2
5600;;;PICNIC_BASKET2;SEASHELLS;30233.0;2
6100;;;JAMS;SEASHELLS;6540.0;4
6200;;;KELP;SEASHELLS;2034.0;1
6200;;;SQUID_INK;SEASHELLS;1861.0;1
6300;;;KELP;SEASHELLS;2035.0;11
6300;;;SQUID_INK;SEASHELLS;1862.0;11
6600;;;KELP;SEASHELLS;2032.0;7
6600;;;SQUID_INK;SEASHELLS;1860.0;7
6700;;;DJEMBES;SEASHELLS;13413.0;6
6700;;;JAMS;SEASHELLS;6541.0;9
6700;;;KELP;SEASHELLS;2034.0;1
6700;;;RAINFOREST_RESIN;SEASHELLS;10004.0;1
6700;;;SQUID_INK;SEASHELLS;1861.0;1
6800;;;CROISSANTS;SEASHELLS;4271.0;5
6800;;;KELP;SEASHELLS;2032.0;1
6800;;;SQUID_INK;SEASHELLS;1859.0;1
6900;;;DJEMBES;SEASHELLS;13414.0;8
6900;;;DJEMBES;SEASHELLS;13414.0;5
7200;;;RAINFOREST_RESIN;SEASHELLS;10002.0;1
7200;;;RAINFOREST_RESIN;SEASHELLS;9996.0;1
7400;;;DJEMBES;SEASHELLS;13415.0;1
7400;;;KELP;SEASHELLS;2035.0;13
7400;;;SQUID_INK;SEASHELLS;1862.0;13
7600;;;CROISSANTS;SEASHELLS;4270.0;9
7600;;;RAINFOREST_RESIN;SEASHELLS;10002.0;1
7700;;;JAMS;SEASHELLS;6541.0;10
8000;;;CROISSANTS;SEASHELLS;4270.0;6
8000;;;KELP;SEASHELLS;2034.0;1
8000;;;SQUID_INK;SEASHELLS;1858.0;1
8100;;;DJEMBES;SEASHELLS;13413.0;5
8200;;;JAMS;SEASHELLS;6538.0;5
8200;;;KELP;SEASHELLS;2032.0;1
8200;;;RAINFOREST_RESIN;SEASHELLS;9996.0;1
8200;;;SQUID_INK;SEASHELLS;1857.0;1
8500;;;JAMS;SEASHELLS;6538.0;3
